point_id,latitude,longitude,intersect_area_km2,area_weight,api_latitude,api_longitude,api_offset_m,grid_row_north
P001,40.1757460021,116.1290322581,2.0751870041,0.0015075867,40.1757470000,116.1290360000,0.3368012913,709
P002,40.1757460021,116.2552594670,0.2401296801,0.0001744500,40.1757470000,116.2552640000,0.4009081589,709
P003,40.1054472346,116.0924369748,47.2068561726,0.0342949475,40.1054460000,116.0924450000,0.6957720327,710
P004,40.1054472346,116.2184873950,64.7417787434,0.0470337591,40.1054460000,116.2184900000,0.2604044109,710
P005,40.1054472346,116.3445378151,1.5338840770,0.0011143397,40.1054460000,116.3445400000,0.2308021674,710
P006,40.1054472346,116.4705882353,8.9067395233,0.0064705890,40.1054460000,116.4706000000,1.0093462467,710
P007,40.1054472346,116.5966386555,6.3112171748,0.0045849878,40.1054460000,116.5966500000,0.9739747341,710
P008,40.0351484671,116.0559440559,18.1708163086,0.0132007772,40.0351500000,116.0559500000,0.5331262797,711
P009,40.0351484671,116.1818181818,76.9872716567,0.0559298935,40.0351500000,116.1818200000,0.2298601014,711
P010,40.0351484671,116.3076923077,75.5700233264,0.0549002876,40.0351500000,116.3077000000,0.6756227941,711
P011,40.0351484671,116.4335664336,65.7680630073,0.0477793365,40.0351500000,116.4335700000,0.3476339787,711
P012,40.0351484671,116.5594405594,49.6638472623,0.0360799081,40.0351500000,116.5594500000,0.8202886327,711
P013,39.9648496996,116.1452513966,59.9177155038,0.0435291624,39.9648480000,116.1452560000,0.4343911564,712
P014,39.9648496996,116.2709497207,83.8266722221,0.0608985973,39.9648480000,116.2709500000,0.1901460544,712
P015,39.9648496996,116.3966480447,83.8266724549,0.0608985974,39.9648480000,116.3966500000,0.2514251427,712
P016,39.9648496996,116.5223463687,83.8266726864,0.0608985976,39.9648480000,116.5223500000,0.3617489513,712
P017,39.9648496996,116.6480446927,28.5957382247,0.0207742989,39.9648480000,116.6480500000,0.4889771212,712
P018,39.8945509321,116.1087866109,28.8113579956,0.0209309429,39.8945500000,116.1087900000,0.3060925491,713
P019,39.8945509321,116.2343096234,83.7944115712,0.0608751605,39.8945500000,116.2343140000,0.3861288488,713
P020,39.8945509321,116.3598326360,83.7944118034,0.0608751606,39.8945500000,116.3598300000,0.2467944639,713
P021,39.8945509321,116.4853556485,83.7944120343,0.0608751608,39.8945500000,116.4853600000,0.3840734186,713
P022,39.8945509321,116.6108786611,46.9797890111,0.0341299872,39.8945500000,116.6108800000,0.1538096743,713
P023,39.8242521646,116.0724233983,40.1039549064,0.0291348151,39.8242530000,116.0724260000,0.2397955527,714
P024,39.8242521646,116.1977715877,66.0612979440,0.0479923665,39.8242530000,116.1977800000,0.7210290191,714
P025,39.8242521646,116.3231197772,74.8155575993,0.0543521816,39.8242530000,116.3231300000,0.8738749542,714
P026,39.8242521646,116.4484679666,53.4801182609,0.0388523616,39.8242530000,116.4484700000,0.1961432768,714
P027,39.8242521646,116.5738161560,28.5526524420,0.0207429979,39.8242530000,116.5738200000,0.3396435521,714
P028,39.7539533971,116.1613351878,16.5752540692,0.0120416294,39.7539520000,116.1613300000,0.4674352063,715
P029,39.7539533971,116.2865090403,4.7418258282,0.0034448527,39.7539520000,116.2865100000,0.1752260696,715
P030,39.7539533971,116.4116828929,7.8216171396,0.0056822667,39.7539520000,116.4116800000,0.2907157000,715
